Txn Hash,Method,Block Number,Value,Txn Fee
0x4f1f7efb600847138de0224835611e9c2830ba1a088f8fdf986eb1bbb0983070,Deposit,19305027,0.003 ETH,0.00160628
0x5e72f693cb369b10b0c37c1a7cbdeab60daa71bd0edefe8ad54febe33117a905,Deposit,19305027,0.03 ETH,0.00099829
0x451641ece773bb499eff65cb713a661126a6e5f2912b864d9e388dbe330fbce7,Transfer,19305027,0.04116 ETH,0.00084
0x201ac8e8c3cd09d4e295a52211d559a038040c81a3c56753171d7b024eb4ce42,Sigma Sell,19305027,0 ETH,0.0075251
0x0eaa2c82e9299b6601b27c4d827fa39145dc0022eab9b30f390f91b9f4b0144c,Transfer,19305027,0 ETH,0.00164462
0x1e895c0c2fc96ad49edd57cc09e61fbddf900c6160a305e4d65df478a7ad211b,Register Continu...,19305027,0 ETH,0.00191143
0x7591aa1a03f8193842788c97974cbf35652fa371ff9d0f713f82c5b30ee0b2bd,Transfer,19305027,0.0072 ETH,0.00079028
0xade54ad6364957afa8fd392f6dfc6e00cf48e1a02dcc04da4f7cc97fd51d2722,Transfer,19305027,1.09 ETH,0.00079028
0x84a4b7ab7d3524a8e6935d731221ae3bcc738de0bade32a6545f7de91e2896fa,Transfer,19305027,1.7762192 ETH,0.00079028
0x93f29d2d43b5e486b99d6a6cd6438cb00ded4160b6e3c81e57d0d5d3d2980729,Transfer,19305027,0.00399 ETH,0.00076928
0x6cc8164dfd0ddc1a30f2b1f08dc26975279faa2b18634cbdce27de6a0616da3b,Transfer,19305027,2.96703 ETH,0.00076928
0xffc28931808cc16b498837eac9fae944ee464d9dc72326d62839ecd9fd4fd437,Transfer,19305027,0 ETH,0.00156758
0xec2ef1ba4a6002204ac04be2929ad4e9fec8cabdf05b44f2c7bc8fb5ee26543d,Transfer,19305027,0 ETH,0.00203557
0xf12040806c578f6ffb592abf203d4e22d9f01b43cb678192b7ec2562dfedff3b,Transfer,19305027,0 ETH,0.00129926
